brand,year,age_years,mileage_km,fuel_type,transmission,body_type,condition,color,num_owners,accident_history,service_records,engine_size_L,horsepower,battery_range_km,battery_health_pct,charging_speed_kw,ev_incentive_2026_usd,is_ev,price_usd
Mercedes,2023,3,42564,Petrol,Manual,SUV,Good,Red,2,0,1,2.0,213,,,,0,0,22551.9
Polestar,2011,15,165153,EV,Automatic,Truck,Fair,Blue,1,0,0,,901,353.0,71.48752483798467,50.0,0,1,7142.86
Kia,2019,7,166120,EV,Automatic,SUV,Excellent,Gray,2,1,1,,298,327.0,84.31471239345525,100.0,0,1,8444.48
Hyundai,2020,6,174806,Hybrid,Manual,SUV,Excellent,Gray,1,0,1,5.0,209,,,,0,0,2000.0
Honda,2022,4,178842,Diesel,Manual,SUV,Good,Blue,2,0,0,4.0,544,,,,0,0,7108.86
Honda,2010,16,289440,Petrol,Automatic,Hatchback,Good,Black,3,1,0,1.6,489,,,,0,0,2000.0
Toyota,2019,7,138775,Diesel,Automatic,Hatchback,Good,Gray,1,0,1,1.5,344,,,,0,0,2000.0
Nissan,2017,9,295990,Hybrid,Automatic,Convertible,Excellent,Red,3,0,1,2.0,340,,,,0,0,2000.0
Hyundai,2018,8,275608,Diesel,Manual,Hatchback,Poor,Brown,4,0,0,3.0,171,,,,0,0,2000.0
Kia,2016,10,167352,Hybrid,Automatic,Hatchback,Good,Silver,1,0,1,1.0,429,,,,0,0,7043.46
Toyota,2017,9,212103,Diesel,Automatic,Convertible,Poor,Silver,1,0,1,1.4,224,,,,0,0,2000.0
Polestar,2013,13,139036,EV,Automatic,Hatchback,Fair,White,4,0,1,,729,634.0,81.76851095634288,150.0,3500,1,39945.78
Nissan,2025,1,234149,Diesel,Automatic,Sedan,Good,White,1,1,1,2.5,126,,,,0,0,2000.0
Ford,2013,13,308707,Petrol,CVT,Coupe,Good,White,2,1,1,1.4,374,,,,0,0,2000.0
Honda,2022,4,178285,Diesel,Automatic,Coupe,Excellent,Green,3,0,1,5.0,207,,,,0,0,17929.36
Honda,2011,15,197966,Diesel,Automatic,Truck,Excellent,Silver,1,0,1,4.0,394,,,,0,0,2000.0
BMW,2017,9,220510,Hybrid,Automatic,Sedan,Fair,Black,2,0,1,3.0,546,,,,0,0,22488.85
Chevrolet,2024,2,240925,Petrol,Automatic,Sedan,Fair,Gray,3,0,1,1.5,341,,,,0,0,5472.59
Audi,2020,6,108436,EV,Automatic,Sedan,Fair,Silver,1,0,0,,517,640.0,91.79947414494201,250.0,7500,1,58525.77
BMW,2011,15,339123,Diesel,Manual,Hatchback,Fair,White,1,0,1,2.5,450,,,,0,0,2000.0
Hyundai,2018,8,79627,EV,Automatic,SUV,Excellent,White,1,0,0,,587,274.0,84.35196033026703,22.0,7500,1,29990.48
Honda,2023,3,256216,Hybrid,Automatic,SUV,Fair,Green,2,1,1,4.0,245,,,,0,0,11818.07
BMW,2013,13,194417,Hybrid,CVT,Convertible,Excellent,Gray,1,1,1,3.5,263,,,,0,0,2000.0
Mercedes,2010,16,196850,Petrol,Automatic,SUV,Good,White,1,0,1,1.6,325,,,,0,0,16192.85
Tesla,2022,4,53353,EV,Automatic,Coupe,Poor,Red,1,0,0,,884,455.0,93.25444746026167,11.0,7500,1,70782.99
Volkswagen,2013,13,334510,Diesel,Automatic,Coupe,Good,Blue,2,0,1,3.5,415,,,,0,0,2000.0
Ford,2012,14,283108,Diesel,Manual,Hatchback,Good,Brown,3,0,1,4.0,261,,,,0,0,2000.0
Chevrolet,2021,5,146103,Hybrid,CVT,SUV,Excellent,Black,2,0,0,1.8,180,,,,0,0,2000.0
Hyundai,2015,11,170057,EV,Automatic,Sedan,Good,Blue,1,0,1,,861,411.0,84.68085474920107,22.0,0,1,21728.22
Toyota,2025,1,184792,Petrol,Automatic,Hatchback,Good,Silver,1,0,0,2.5,238,,,,0,0,4218.28
Hyundai,2016,10,230265,Petrol,Automatic,Truck,Good,Gray,2,0,1,4.0,276,,,,0,0,2000.0
Honda,2017,9,313102,Petrol,CVT,Truck,Excellent,Black,3,0,1,1.8,224,,,,0,0,2000.0
Toyota,2011,15,350000,Petrol,Automatic,Truck,Excellent,Red,3,1,1,1.8,83,,,,0,0,2000.0
Polestar,2015,11,130351,EV,Automatic,Sedan,Excellent,Green,1,0,1,,1095,549.0,84.04786921392812,22.0,7500,1,36863.94
Polestar,2024,2,37276,EV,Automatic,Sedan,Good,Black,1,0,1,,326,459.0,96.3181786699011,22.0,3500,1,58568.16
Nissan,2015,11,298912,Petrol,CVT,Truck,Poor,Blue,2,1,1,3.0,85,,,,0,0,2000.0
BMW,2019,7,86054,Hybrid,Automatic,Sedan,Excellent,Red,1,1,0,5.0,527,,,,0,0,52057.34
Toyota,2021,5,303927,Diesel,Automatic,Truck,Good,Red,4,1,1,5.0,237,,,,0,0,2000.0
Kia,2014,12,292083,Petrol,Automatic,Sedan,Excellent,White,1,0,1,1.6,454,,,,0,0,2000.0
Tesla,2019,7,140842,EV,Automatic,Sedan,Good,Red,3,0,0,,359,380.0,92.13244714685217,22.0,5000,1,56271.52
Honda,2019,7,157836,Diesel,Automatic,Hatchback,Excellent,Red,5,0,0,1.5,170,,,,0,0,2000.0
Tesla,2016,10,98945,EV,Automatic,Van,Excellent,Silver,4,1,0,,762,309.0,85.73537667444921,11.0,7500,1,70701.1
Toyota,2012,14,350000,Petrol,Automatic,SUV,Excellent,White,3,1,1,3.0,487,,,,0,0,2000.0
Rivian,2025,1,43028,EV,Automatic,Hatchback,Poor,Black,1,0,0,,279,341.0,98.91018994274546,250.0,5000,1,62201.31
Ford,2013,13,349807,Petrol,Automatic,Sedan,Excellent,Red,4,0,0,2.0,92,,,,0,0,2000.0
Hyundai,2019,7,120988,Diesel,Automatic,SUV,Fair,White,2,0,1,1.4,390,,,,0,0,2000.0
BMW,2022,4,209110,Petrol,Automatic,SUV,Excellent,Silver,2,0,0,1.4,171,,,,0,0,33943.41
Chevrolet,2018,8,112407,Hybrid,Automatic,SUV,Good,Black,1,0,1,4.0,302,,,,0,0,2000.0
Chevrolet,2013,13,106477,Petrol,Manual,SUV,Poor,Green,4,0,1,1.0,175,,,,0,0,2000.0
Honda,2012,14,296620,Petrol,Automatic,Truck,Excellent,White,2,0,0,4.0,306,,,,0,0,2000.0
Polestar,2023,3,57763,EV,Automatic,Truck,Good,Gray,2,0,1,,673,333.0,91.81804893474225,350.0,7500,1,65646.34
Volkswagen,2011,15,350000,Diesel,Automatic,Convertible,Poor,White,1,1,1,3.5,354,,,,0,0,2000.0
Lucid,2014,12,154014,EV,Automatic,Sedan,Fair,Gray,2,0,0,,823,314.0,84.37196574451127,50.0,3500,1,64448.62
